SN,Execution_time_with_test
1,0.11851600
2,0.11855300
3,0.11856990
4,0.11858380
5,0.11859750
6,0.11861410
7,0.11863610
8,0.11866060
9,0.11868520
10,0.11871430
11,0.11873820
12,0.11876140
13,0.11878400
14,0.11880750
15,0.11883030
16,0.11885270
17,0.11887590
18,0.11889440
19,0.11891300
20,0.11894070
21,0.11896980
22,0.11899050
23,0.11901350
24,0.11903470
25,0.11905670
26,0.11907760
27,0.11909900
28,0.11912530
29,0.11915070
30,0.11918000
31,0.11919950
32,0.11921910
33,0.11923600
34,0.11924870
35,0.11926090
36,0.11927290
37,0.11928530
38,0.11929790
39,0.11931040
40,0.11932280
41,0.11933640
42,0.11935050
43,0.11936920
44,0.11938500
45,0.11939740
46,0.11940980
47,0.11942250
48,0.11943510
49,0.11945230
50,0.11946740
51,0.11948010
52,0.11949240
53,0.11950850
54,0.11952790
55,0.11954750
56,0.11956490
57,0.11958280
58,0.11960160
59,0.11962070
60,0.11964000
61,0.11966010
62,0.11967880
63,0.11969700
64,0.11971570
65,0.11973830
66,0.11975860
67,0.11977780
68,0.11979840
69,0.11982000
70,0.11984300
71,0.11986440
72,0.11989100
73,0.11991190
74,0.11993270
75,0.11995340
76,0.11997450
77,0.11999750
78,0.12002120
79,0.12004280
80,0.12006360
81,0.12008450
82,0.12010630
83,0.12012740
84,0.12014880
85,0.12016930
86,0.12018920
87,0.12021080
88,0.12023200
89,0.12025240
90,0.12027340
91,0.12029010
92,0.12030970
93,0.12033120
94,0.12035000
95,0.12036700
96,0.12038370
97,0.12040140
98,0.12041930
99,0.12044110
100,0.12046110
101,0.12047960
102,0.12049870
103,0.12051710
104,0.12053640
105,0.12055570
106,0.12057510
107,0.12059330
108,0.12061500
109,0.12064920
110,0.12066960
111,0.12068860
112,0.12071090
113,0.12073300
114,0.12075380
115,0.12077140
116,0.12078990
117,0.12080920
118,0.12082580
119,0.12084270
120,0.12086270
121,0.12088260
122,0.12090170
123,0.12092120
124,0.12094060
125,0.12095920
126,0.12097660
127,0.12099940
128,0.12101730
129,0.12104230
130,0.12106380
131,0.12108420
132,0.12110400
133,0.12112440
134,0.12114520
135,0.12116850
136,0.12119050
137,0.12121610
138,0.12124060
139,0.12126190
140,0.12128650
141,0.12130940
142,0.12133320
143,0.12135310
144,0.12137990
145,0.12140230
146,0.12142260
147,0.12144730
148,0.12147020
149,0.12150060
150,0.12152300
151,0.12154880
152,0.12157220
153,0.12159900
154,0.12162120
155,0.12164540
156,0.12166520
157,0.12168990
158,0.12170800
159,0.12178450
160,0.12180820
161,0.12183270
162,0.12185310
163,0.12187570
164,0.12189550
165,0.12191490
166,0.12193530
167,0.12195870
168,0.12198200
169,0.12200400
170,0.12202510
171,0.12204540
172,0.12206690
173,0.12209750
174,0.12211690
175,0.12213780
176,0.12215770
177,0.12217990
178,0.12219990
179,0.12221960
180,0.12224010
181,0.12226200
182,0.12228550
183,0.12230890
184,0.12233100
185,0.12235380
186,0.12237470
187,0.12239490
188,0.12241700
189,0.12243740
190,0.12245630
191,0.12247450
192,0.12249540
193,0.12251450
194,0.12253330
195,0.12255220
196,0.12257850
197,0.12260070
198,0.12262010
199,0.12263970
200,0.12265790
201,0.12270270
202,0.12273320
203,0.12275390
204,0.12277520
205,0.12279930
206,0.12281970
207,0.12284260
208,0.12286380
209,0.12288330
210,0.12290710
211,0.12292830
212,0.12294810
213,0.12297660
214,0.12299740
215,0.12302380
216,0.12304520
217,0.12306910
218,0.12309560
219,0.12311700
220,0.12314080
221,0.12316280
222,0.12318280
223,0.12320070
224,0.12322060
225,0.12324240
226,0.12325960
227,0.12327810
228,0.12329780
229,0.12331580
230,0.12333840
231,0.12336340
232,0.12338770
233,0.12341470
234,0.12343380
235,0.12345830
236,0.12348010
237,0.12350050
238,0.12352200
239,0.12354370
240,0.12356650
241,0.12358650
242,0.12360590
243,0.12362540
244,0.12365180
245,0.12367110
246,0.12368950
247,0.12370890
248,0.12372790
249,0.12375380
250,0.12377480
251,0.12379570
252,0.12381480
253,0.12383610
254,0.12385300
255,0.12387350
256,0.12389370
257,0.12391350
258,0.12393580
259,0.12395660
260,0.12397670
261,0.12399480
262,0.12401750
263,0.12403660
264,0.12405600
265,0.12407570
266,0.12409700
267,0.12411700
268,0.12414180
269,0.12417330
270,0.12419400
271,0.12421460
272,0.12423410
273,0.12425470
274,0.12427230
275,0.12428960
276,0.12430750
277,0.12432790
278,0.12434750
279,0.12436680
280,0.12438570
281,0.12440360
282,0.12442220
283,0.12444090
284,0.12445960
285,0.12447910
286,0.12450100
287,0.12452200
288,0.12454470
289,0.12456380
290,0.12458450
291,0.12460720
292,0.12462820
293,0.12464860
294,0.12466840
295,0.12469020
296,0.12471200
297,0.12473570
298,0.12475570
299,0.12477520
300,0.12479440
301,0.12481410
302,0.12483470
303,0.12485560
304,0.12487420
305,0.12489090
306,0.12490760
307,0.12493290
308,0.12495080
309,0.12497580
310,0.12499330
311,0.12501010
312,0.12502690
313,0.12504520
314,0.12506230
315,0.12508080
316,0.12510240
317,0.12512270
318,0.12514770
319,0.12516730
320,0.12518950
321,0.12520900
322,0.12522840
323,0.12524950
324,0.12527210
325,0.12529270
326,0.12531780
327,0.12534380
328,0.12536160
329,0.12538120
330,0.12540020
331,0.12541940
332,0.12543970
333,0.12546000
334,0.12547940
335,0.12550200
336,0.12552410
337,0.12554890
338,0.12556960
339,0.12559330
340,0.12562180
341,0.12564330
342,0.12566580
343,0.12568850
344,0.12571580
345,0.12573820
346,0.12576300
347,0.12578500
348,0.12580760
349,0.12583050
350,0.12585390
351,0.12587520
352,0.12589550
353,0.12593390
354,0.12595810
355,0.12597230
356,0.12598450
357,0.12599680
358,0.12600850
359,0.12602010
360,0.12603330
361,0.12604490
362,0.12605660
363,0.12606860
364,0.12608680
365,0.12609900
366,0.12611160
367,0.12612380
368,0.12613570
369,0.12614800
370,0.12615990
371,0.12617170
372,0.12618370
373,0.12619570
374,0.12620760
375,0.12621950
376,0.12623150
377,0.12624350
378,0.12625530
379,0.12626670
