SN,Execution_time_without_test
1,0.00006250
2,0.00010780
3,0.00014160
4,0.00017300
5,0.00020520
6,0.00023730
7,0.00027170
8,0.00030350
9,0.00033660
10,0.00036860
11,0.00039980
12,0.00043020
13,0.00046020
14,0.00053030
15,0.00056100
16,0.00059080
17,0.00062200
18,0.00065290
19,0.00068670
20,0.00071600
21,0.00074610
22,0.00077050
23,0.00079500
24,0.00082030
25,0.00084670
26,0.00087790
27,0.00090760
28,0.00093690
29,0.00096630
30,0.00099440
31,0.00102580
32,0.00105610
33,0.00108570
34,0.00111680
35,0.00114800
36,0.00117880
37,0.00120930
38,0.00123770
39,0.00126860
40,0.00130370
41,0.00133800
42,0.00137160
43,0.00140250
44,0.00144030
45,0.00147130
46,0.00150540
47,0.00153920
48,0.00157010
49,0.00160550
50,0.00164190
51,0.00167590
52,0.00211330
53,0.00217890
54,0.00221150
55,0.00223850
56,0.00227110
57,0.00230800
58,0.00234270
59,0.00237170
60,0.00240280
61,0.00243200
62,0.00245810
63,0.00248600
64,0.00251430
65,0.00255150
66,0.00257960
67,0.00261250
68,0.00264990
69,0.00268410
70,0.00271530
71,0.00275190
72,0.00278680
73,0.00281500
74,0.00284370
75,0.00287160
76,0.00289820
77,0.00294090
78,0.00296800
79,0.00299610
80,0.00302320
81,0.00305440
82,0.00311390
83,0.00315340
84,0.00319870
85,0.00327660
86,0.00331560
87,0.00335400
88,0.00339500
89,0.00343160
90,0.00347070
91,0.00350800
92,0.00354720
93,0.00359260
94,0.00362730
95,0.00365930
96,0.00370780
97,0.00374610
98,0.00378360
99,0.00381250
100,0.00384890
101,0.00388290
102,0.00391680
103,0.00395020
104,0.00398640
105,0.00402730
106,0.00406560
107,0.00410340
108,0.00414110
109,0.00418060
110,0.00421890
111,0.00425780
112,0.00429820
113,0.00433730
114,0.00437500
115,0.00441470
116,0.00445290
117,0.00449180
118,0.00453060
119,0.00456830
120,0.00460510
121,0.00464230
122,0.00467770
123,0.00471710
124,0.00475950
125,0.00479250
126,0.00482410
127,0.00485440
128,0.00488520
129,0.00491740
130,0.00494750
131,0.00497740
132,0.00500920
133,0.00506460
134,0.00520440
135,0.00528020
136,0.00534410
137,0.00545170
138,0.00552100
139,0.00558500
140,0.00564390
141,0.00570510
142,0.00576610
143,0.00582620
144,0.00588500
145,0.00595540
146,0.00600580
147,0.00606060
148,0.00611990
149,0.00618510
150,0.00625190
151,0.00631360
152,0.00637850
153,0.00644280
154,0.00650620
155,0.00656700
156,0.00663660
157,0.00669940
158,0.00676300
159,0.00682400
160,0.00689370
161,0.00695860
162,0.00703410
163,0.00710080
164,0.00717630
165,0.00724250
166,0.00730110
167,0.00737960
168,0.00744230
169,0.00750360
170,0.00755720
171,0.00761790
172,0.00767070
173,0.00773380
174,0.00779310
175,0.00792050
176,0.00798200
177,0.00804230
178,0.00810360
179,0.00816950
180,0.00823350
181,0.00829390
182,0.00835370
183,0.00841030
184,0.00847240
185,0.00853370
186,0.00859660
